Data;pH;Turbidez;CondutividadeEletrica
15/12/2009;5,96;5,28;
15/12/2009;6,92;14,3;
16/12/2009;7,31;2,6;
16/12/2009;6,91;13,3;
16/12/2009;7,19;0,68;
17/12/2009;5,82;0,22;
17/12/2009;6,88;8,94;
17/12/2009;7,16;20,3;
17/12/2009;7,16;1,03;
17/12/2009;6,21;4,67;
21/12/2009;6,75;4,18;
21/12/2009;6,83;5,15;
21/12/2009;5,52;0,69;
29/12/2009;7,01;1,92;
29/12/2009;7,59;144;
29/12/2009;7,24;10,5;
30/12/2009;7,55;26,4;
15/01/2010;6,6;18,4;0,012
01/02/2010;5,4;279;
01/02/2010;5;19,2;
01/02/2010;6,8;3,13;
01/02/2010;5;1,99;
01/02/2010;7,6;95;
01/02/2010;7,5;2,47;
01/02/2010;7,5;4,54;
11/02/2010;;50;
12/02/2010;8,27;18;
13/02/2010;;27,9;
01/03/2010;6,3;20,9;
09/04/2010;7,68;86,5;0,037
10/04/2010;7,65;75,8;0,042
12/04/2010;6,2;17,7;0,007
13/04/2010;6,3;15,8;0,007
19/04/2010;7,2;3,71;0,064
01/05/2010;8,3;15,7;
01/05/2010;7,6;2,86;
01/05/2010;7,4;2,13;
01/05/2010;7,5;2,73;
01/05/2010;7,6;1,61;
01/05/2010;7,3;1,88;
01/05/2010;7,6;3,08;
15/05/2010;7,32;15;123,7
19/05/2010;7,62;7,37;37,8
25/05/2010;7,35;4;
15/06/2010;7,72;3,44;96
16/06/2010;7,61;265;72
17/06/2010;7,59;6,04;77
18/06/2010;7,72;4,51;63
21/06/2010;7,46;4,22;59
22/06/2010;6,76;4,67;22
24/06/2010;7,06;10,5;30
08/07/2010;7,9;3,37;224
16/07/2010;7,54;5,72;31
17/07/2010;7,33;8,6;129
28/07/2010;7,59;4,25;0,045
30/07/2010;6,69;1,96;0,007
31/07/2010;6,86;6,94;0,008
01/08/2010;7,8;1,12;
01/08/2010;7,6;1,45;
01/08/2010;7,7;0,39;
01/08/2010;8,3;0,86;
01/08/2010;8,1;0,7;
01/08/2010;7,8;0,99;
01/08/2010;8;0,93;
02/08/2010;6,64;4,98;0,005
02/08/2010;6,81;7,72;0,009
04/08/2010;6,05;2,01;
04/08/2010;5,7;3,62;
04/08/2010;6,63;3,08;0,008
05/08/2010;6,33;1,38;
05/08/2010;8,15;2,14;4
05/08/2010;7,65;5,07;3,02
06/08/2010;7,38;2,28;4
09/08/2010;6,19;3,87;5
12/08/2010;7,81;3,75;67
17/08/2010;7,28;4,02;
18/08/2010;7,25;2,75;
18/08/2010;7,3;3,58;
19/08/2010;5,52;0,56;
19/08/2010;5,1;0,48;
23/08/2010;7,68;5,22;
24/08/2010;7,74;2,89;
24/08/2010;6,2;1,15;
24/08/2010;7,57;1,46;
25/08/2010;6,79;3,41;0,045
30/08/2010;7,35;23,5;0,139
30/08/2010;6,53;5,04;
31/08/2010;7,31;7,25;0,042
01/09/2010;7,42;12,5;0,086
02/09/2010;7,02;3,61;0,03
03/09/2010;7,75;5,97;51
04/09/2010;7,35;9,93;0,042
07/09/2010;7,4;10,9;131
13/09/2010;6,46;37;
13/09/2010;6,4;3,67;
13/09/2010;6,94;1,43;
13/09/2010;6,18;2,82;
14/09/2010;7,56;2,25;
21/09/2010;6,9;6,27;
22/09/2010;7,59;4,66;
23/09/2010;6,05;0,32;
05/10/2010;6,9;5,41;
05/10/2010;7,79;5,15;
08/10/2010;8,3;6,2;27
13/10/2010;7,01;2,68;
18/10/2010;7,02;20,3;
18/10/2010;7,48;3,98;
18/10/2010;7,34;6,37;
21/10/2010;5,91;5,52;0,006
22/10/2010;5,45;13,3;0,006
23/10/2010;7,51;20;0,066
25/10/2010;5,57;105;0,009
