Data;pH;Turbidez;CondutividadeEletrica;DBO;OD
06/12/2018;8,6;43,3;;;6,6
29/09/2011;7,55;11,8;14,87;;7,6
16/07/2016;6,12;;11,37;;7,78
28/06/2011;7,61;10,7;20;;7,7
17/10/2016;5,8;0;9,3;;7,41
12/11/2012;7,02;5,88;12,6;;7,25
23/05/2009;6,97;;39;;7,26
04/12/2017;;9,71;;;
20/03/2014;7,31;8,45;24,8;;7,55
23/03/2016;6,13;;24;;7,27
28/10/2015;6,65;;130,7;;7,33
01/08/2015;7,55;;15,41;;8,12
28/08/2012;7,29;5,24;14,45;;7,7
19/06/2018;8,33;;19;;7,64
07/10/2013;7,1;5,69;13,25;;7,35
07/03/2006;6,74;36,5;;1,95;5,48
11/10/2006;7,31;2,11;;0,96;4,73
15/09/2009;7,02;3,17;;1;6,3
17/12/2009;6,88;8,94;;1,2;6,5
13/10/2010;7,01;2,68;;0,34;6,7
14/06/2018;7,685;3,3;;;7,895
15/03/2018;6,84;111,57;;;6,57
12/06/2017;7,9;;;;8,6
06/03/2017;7,6;21,36;;;7,11
05/09/2018;7,28;2,19;;;7,51
06/12/2018;6,84;128,82001;;;
06/03/2017;7,6;16,25;;;7,2
12/06/2017;8,16;;;;8,65
14/06/2018;7,8;2,27;;;8,26
15/03/2018;7,0067;139,50999;;;6,5133
06/12/2018;7,17;124;;;
05/09/2018;7,8;1,8;;;7,69
31/07/2015;6,85;;53,7;;7,43
03/12/2009;7,58;15,8;46;;
20/09/2018;7,6;;;;6,8
05/12/2018;8,54;91,3;;;6,24
23/05/2012;7,19;9,63;67,4;;7,68
17/03/2017;7,38;;;;7,12
05/10/2013;7,54;2,16;38,9;;6,6
25/09/2017;;6,51;;;
01/03/2012;7,26;71,4;42,4;;7,71
06/07/2013;7,54;3,49;60;;7,58
21/06/2010;7,46;4,22;59;;7,18
19/10/2016;6,27;0;14,4;;6,95
18/04/2013;7,15;16,3;65,2;;7,28
16/10/2014;9,16;;36;;6,68
