valor_coliformes,valor_dbo,valor_fosforo,valor_od,valor_ph,valor_solido,valor_temperatura,valor_turbidez
5100.0,9.0,0.45049999999999996,2.25,6.75,355.0,22.0,34.0
80000.0,62.0,2.1,6.5,7.2,243.0,23.0,25.0
241.0,20.0,0.12433333333333334,1.9666666666666668,6.733333333333333,281.6666666666667,21.8,10.0
13000.0,29.0,0.35,6.9,7.2,225.0,29.0,100.0
4.0,43.0,0.375,2.8,7.2,239.0,20.3,3.5
49000.0,13.0,0.62,7.2,7.4,203.0,25.0,30.0
50000.0,42.0,0.7,5.3,7.5,315.0,26.0,17.0
4.0,31.0,2.95,6.4,7.4,302.0,22.6,4.3
170000.0,30.0,0.68,6.4,7.4,211.0,23.0,50.0
23.0,12.0,0.048,1.7,7.1,154.0,28.0,13.0
130.0,14.0,0.39899999999999997,5.0,7.7,269.0,26.2,7.1
800.0,16.5,0.46199999999999997,2.85,6.949999999999999,321.0,20.5,42.5
49000.0,20.0,1.5,6.9,7.3,251.0,23.0,75.0
39501.0,14.5,0.349,3.9499999999999997,7.2,353.0,25.4,17.0
1500.0,6.5,0.4465,4.5,7.0,230.0,21.0,85.0
17000.0,17.0,1.0,5.4,7.2,248.0,20.0,80.0
197.33333333333334,13.0,154.17333333333335,4.233333333333333,7.033333333333334,189.0,23.900000000000002,38.199999999999996
390.0,12.0,0.29200000000000004,3.2,7.0,299.5,24.0,67.5
490000.0,13.0,1.24,4.8,7.3,564.0,20.0,110.0
33000.0,13.0,1.7,4.6,7.3,205.0,19.0,40.0
5034.0,26.0,0.32966666666666666,3.1999999999999997,7.066666666666666,246.0,22.833333333333332,28.03333333333333
49000.0,24.0,1.4,5.5,7.4,248.0,19.0,17.0
5000.0,17.5,0.33799999999999997,4.15,7.25,200.5,27.0,29.0
490.0,59.0,0.8170000000000001,5.9,7.7,289.0,26.5,5.0
70000.0,7.0,1.5,4.7,7.2,272.0,18.0,23.0
1.8,34.0,0.192,0.7,7.0,196.0,23.5,2.0
49.0,21.0,0.7,3.5,7.3,220.0,26.1,5.0
9400.0,23.0,0.806,3.4499999999999997,6.75,213.0,24.0,30.0
1350.0,21.5,0.5525,3.05,7.0,185.0,25.0,14.0
17000.0,21.0,3.0,3.4,6.8,282.0,26.0,10.0
415.0,25.5,0.539,2.6,7.2,400.5,25.5,34.0
6.8,6.0,0.3,4.4,7.0,220.0,28.3,3.6
49000.0,19.0,0.3,1.8,7.3,257.0,24.0,3.0
22000.0,4.0,1.7,5.6,7.2,233.0,24.0,10.0
33000.0,15.0,0.4,5.6,7.1,435.0,22.0,1.5
9633.933333333332,18.0,0.8836666666666667,2.6333333333333333,7.033333333333332,245.0,18.933333333333334,14.833333333333334
330000.0,17.0,0.54,3.5,7.2,248.0,25.0,10.0
12650.0,15.5,0.7430000000000001,3.45,7.2,237.5,24.5,29.0
1.8,18.0,0.6,0.5,7.2,244.0,20.9,3.0
6.8,16.0,0.1,7.3,7.7,195.0,24.1,6.4
33000.0,13.0,1.4,7.9,7.2,306.0,28.0,30.0
18.0,20.0,0.4,3.0,7.1,351.0,28.0,4.0
1.8,9.0,0.2,5.0,7.8,222.0,25.9,10.0
3300.0,12.0,0.5175000000000001,3.5,6.949999999999999,246.5,20.0,52.5
4400.0,12.5,0.5275,4.0,7.15,233.0,22.0,70.0
4.5,5.0,0.2,8.7,8.4,169.0,31.4,13.0
20525.0,6.75,0.53925,2.825,6.875000000000001,205.25,21.75,68.5
14.0,14.0,0.2,3.2,7.3,168.0,27.6,14.0
17000.0,14.0,1.15,8.0,7.5,316.0,16.0,10.0
70000.0,14.0,1.75,7.8,7.6,355.0,23.0,10.0
2060.0,10.5,0.23349999999999999,4.4,6.6,178.5,25.0,53.5
3.0,12.0,0.38,4.6,7.3,289.0,21.0,60.0
2233.9333333333334,11.0,0.3566666666666667,2.5666666666666664,6.933333333333334,208.66666666666666,23.599999999999998,36.93333333333333
130000.0,18.0,2.9,5.0,6.8,272.0,18.0,22.0
1.8,28.0,0.05,2.7,7.1,167.0,23.1,6.4
26500.0,8.0,0.5545,3.35,6.8,191.0,25.5,12.0
2.0,9.0,0.5,2.7,7.5,247.0,24.1,11.0
330000.0,18.0,1.15,7.3,7.4,282.0,22.0,21.0
7.8,4.0,0.4,4.7,7.5,221.0,25.1,16.0
156000.0,11.0,0.5005000000000001,2.2,6.85,380.0,25.5,60.0
49000.0,15.0,1.6,5.0,7.4,218.0,20.0,3.0
9900.0,12.0,0.193,0.95,6.75,212.5,28.0,11.0
220000.0,10.0,0.72,7.1,7.4,268.0,25.0,20.0
1.8,18.0,0.1,10.1,8.8,173.0,29.6,15.2
