"CÓDIGO HIDRO    SR HIDROGRAFICA   MUNICÍPIO              CORPO DÁGUA                LATITUDE LONGITUDE PERÍODO       INFLUÊNCIA DE MARÉ   ANO          DATA DA COLETA HORA DA COLETA TEMPERATURA DO AR (°C)    CONDUTIVIDADE (SpCond a 25 °C)     pH          OXIGENIO DISSOLVIDO (mg/L)     OXIGENIO DISSOLVIDO (%)    TURBIDEZ (NTU) TEMPERATURA DA ÁGUA (°C)    PROFUNDIDADE (m)"
"32370000   COSTA ATLANTICA   BRAGANÇA               RIO CAETE                      -0,9937  -46,7246 SECO       SIM                        2017           13/12/17          11:13                    28,6                           31103,7       7,31                             4,95                       72,5            181,8                      29,7                0,68"
"32390000   COSTA ATLANTICA   AUGUSTO CORREA         RIO URUMAJO                    -1,0751  -46,6361 SECO       SIM                        2017           13/12/17          12:00                    28,2                             913,1       6,75                             5,43                       70,3            108,3                      28,6                0,26"
"32120000   COSTA ATLANTICA   MARAPANIM              RIO MARAPANIM                  -0,9426  -47,6472 SECO       SIM                        2017           14/12/17          10:59                    27,7                               37,6         6                             6,33                       80,4           172,67                      27,7                1,28"
"31041000   ACARA             ACARÁ                  RIO ACARÁ                      -1,6788  -48,4144 CHUVOSO    SIM                        2017           18/12/17          17:40                  24,89                                  21      5,71                             6,87                       90,5            41,92                     29,79                0,61"
"31760000   TOCANTINS         ABAETETUBA             RIO ARAPIRANGA DE BEJA          -1,664  -48,7796 CHUVOSO    SIM                        2017           19/12/17          18:13                    25,9                               17,5      5,03                             5,01                       61,5             6,65                     25,77                0,57"
"31750000   TOCANTINS         ABAETETUBA             RIO TOCANTINS                  -1,7259  -48,8929 CHUVOSO    SIM                        2017           19/12/17           6:31                    24,5                                 47      7,12                             6,89                       89,5            26,73                     28,92               0,921"
"31023000   MOJU              MOJU                   RIO MOJU                       -1,8769  -48,7621 CHUVOSO    SIM                        2017           20/12/17           7:18                    23,5                               16,7      6,13                             6,98                       91,5            10,75                     29,48                1,03"
"31775000   GUAMA             BARCARENA              RIO ACARÁ                      -1,5584  -48,5052 CHUVOSO    SIM                        2017           20/12/17          18:43                    24,5                               57,1      6,01                             6,96                       91,2             62,8                     29,43                0,86"
"31770000   GUAMA             BARCARENA              RIO ITAPORANGA                 -1,5178  -48,6426 CHUVOSO    SIM                        2017           21/12/17           8:13                    25,3                             125,1       6,34                             5,61                       72,6            20,39                     28,79                0,91"
"31025000   MOJU              MOJU                   RIO MOJU                       -1,6995  -48,4421 CHUVOSO    SIM                        2017           22/12/17           8:20                  26,83                                18,2      5,77                             6,95                       91,3            29,25                     29,56                0,69"
"31720000   CAPIM             AURORA DO PARÁ         RIO CAPIM                   -2,037365 -47,752179 CHUVOSO    NÃO                        2018           06/02/18          11:15                    28,1                               26,6      5,46                              6,7                       86,2            23,18                     28,36                1,15"
"31039000   ACARA             ACARÁ                  RIO ACARÁ                      -1,9632 -48,19627 CHUVOSO    NÃO                        2018           06/02/18          14:24                    27,2                               21,3      5,15                             5,03                       63,8            20,85                      27,6                0,95"
"31642000   GUAMA             SANTA ISABEL           RIO GUAMÁ                    -1,49582  -48,19072 CHUVOSO    SIM                        2018           07/02/18          13:08                    28,7                               31,4      5,79                             6,09                       78,7            38,45                      28,6                  1,9"
"31641000   GUAMA             BUJARU                 RIO GUAMÁ                   -1,51523     -48,04723    CHUVOSO   SIM   2018   07/02/18   15:07    26,3         32    5,86   6,11     79,3    42,95   28,93    0,84"
